	C8 (1)	C8 (3)	Control (1)	Control (2)	Control (3)
yfcM	0.004882	0.003084	0.004882	0.012066	-0.017492
yfcA	-0.013873	-0.051890	0.004241	-0.013873	0.009292
mepA	-0.014086	-0.014503	0.026475	-0.013712	-0.014025
aroC	-0.003908	-0.003908	-0.003908	0.007713	-0.003908
prmB	0.017871	0.010449	-0.027070	-0.008892	0.033703
yfcN	0.000567	0.000306	0.000877	0.000306	-0.001186
yfcO	0.032615	0.000064	0.000064	0.000064	-0.000129
yfcP	0.000027	0.000027	0.001908	0.000797	-0.002718
yfcQ	-0.002610	-0.001849	0.002674	-0.001849	-0.000837
yfcR	-0.000242	-0.000222	0.000400	0.000465	-0.000866
yfcS	-0.002783	0.000133	0.000133	0.000694	-0.000829
b2337	0.000051	-0.000026	0.000450	-0.000425	-0.000026
yfcU	-0.001601	-0.000172	0.000344	-0.000172	-0.000172
yfcV	-0.004780	-0.003593	-0.002438	0.005968	-0.003593
sixA	0.000000	0.019477	0.000000	0.000000	0.000000
fadJ	0.019486	0.009951	0.000085	0.000085	-0.000171
fadI	-0.005581	0.018935	0.012567	-0.004625	-0.008228
yfcZ	0.031856	0.001162	-0.001605	0.000438	0.001162
fadL	-0.018716	-0.018716	-0.018716	-0.019303	0.035692
yfdF	-0.011963	-0.011892	-0.011691	-0.012283	0.023025
vacJ	0.056814	0.004091	-0.018554	0.004091	0.013830
yfdC	0.000050	0.000050	0.000589	0.000050	-0.000640
intS	-0.000169	-0.000169	0.000337	-0.000169	-0.000169
yfdG	0.018518	-0.004477	0.017822	-0.013961	-0.004477
yfdH	0.013900	-0.008151	-0.007986	0.003939	0.003939
yfdI	0.009025	-0.003616	-0.003186	-0.003186	0.006304
tfaS	-0.001433	-0.000964	0.002112	-0.000964	-0.001156
yfdK	-0.000195	-0.000141	0.000739	0.000127	-0.000868
yfdL	-0.006017	-0.005635	-0.005076	0.010802	-0.005931
yfdM	-0.001139	0.009205	0.001099	-0.000539	-0.000562
yfdN	-0.001511	-0.001236	-0.001236	0.002462	-0.001236
yfdO	-0.000726	0.023369	0.000000	0.000000	0.000000
yfdP	-0.001038	0.000003	0.000606	0.000548	-0.001157
yfdQ	-0.000086	-0.000047	0.000593	-0.000047	-0.000547
yfdR	-0.006731	-0.006647	-0.006324	0.013287	-0.007275
yfdS	-0.001710	0.086302	0.000327	-0.000243	-0.000084
yfdT	-0.013048	0.046055	-0.013048	-0.013394	0.025292
dsdC	-0.004275	0.016058	-0.003713	-0.006040	0.009589
dsdA	-0.000223	-0.009871	-0.000770	0.000991	-0.000223
emrY	-0.000082	-0.000082	0.000442	-0.000082	-0.000360
emrK	0.000258	0.000258	0.000397	0.000258	-0.000655
evgA	0.108481	0.057560	-0.010313	0.002167	0.007945
evgS	0.079236	0.000059	-0.000281	0.001673	-0.001398
yfdE	-0.000095	0.001907	0.000509	-0.000208	-0.000302
yfdV	-0.000125	-0.000055	0.000840	-0.000055	-0.000787
oxc	0.000180	0.000180	0.000567	-0.000032	-0.000535
frc	-0.001415	0.000024	0.000550	0.000024	-0.000575
yfdX	-0.015727	-0.014712	-0.014712	0.000432	0.013812
ypdI	-0.005763	-0.002276	0.001905	-0.002276	0.000360
yfdY	0.051515	0.008581	0.008581	-0.017689	0.008581
lpxP	-0.047206	-0.294866	0.042746	-0.000189	-0.047206
yfdZ	0.027630	0.032989	-0.002295	0.001410	0.000876
ypdA	-0.005655	-0.007101	-0.005655	0.011095	-0.005655
ypdB	0.040663	0.003074	0.003074	-0.006214	0.003074
ypdC	0.003905	0.000233	0.000233	0.000233	-0.000467
fryA	-0.000023	-0.000003	0.000638	-0.000003	-0.000636
ypdE	0.000021	0.000021	0.000585	-0.000114	-0.000472
ypdF	-0.000564	-0.000629	-0.000038	0.001319	-0.001285
fryC	-0.000050	-0.000050	0.000494	-0.000445	-0.000050
fryB	-0.000018	0.000048	0.000970	0.000355	-0.001328
glk	-0.000079	0.000000	0.000000	0.000000	0.000000
yfeO	0.000231	0.000961	0.000828	0.000081	-0.000910
mntH	-0.000038	-0.000360	0.000460	-0.000358	-0.000103
nupC	-0.002373	0.008501	0.001350	0.000764	-0.002122
yfeA	0.000154	0.000154	0.001291	-0.000302	-0.000992
yfeC	-0.009366	-0.008910	-0.003594	0.012224	-0.008910
yfeD	-0.003350	-0.002148	0.001345	-0.000674	-0.000674
gltX	0.039061	-0.000240	0.000479	-0.000240	-0.000240
xapR	0.000219	0.000219	0.000219	-0.000439	0.000219
xapB	-0.000609	-0.000609	0.000977	-0.000370	-0.000609
xapA	-0.000142	-0.000097	0.000459	-0.000097	-0.000363
yfeN	-0.005479	0.044341	-0.005003	-0.005003	0.009836
yfeR	0.000300	0.000088	0.000476	-0.000394	-0.000082
yfeH	-0.000471	0.000057	0.000057	0.000057	-0.000114
ligA	0.024813	-0.000747	0.000340	-0.000170	-0.000170
zipA	0.006438	-0.015511	0.000000	0.000000	0.000000
cysZ	0.021890	0.026258	-0.015178	0.001401	0.013307
cysK	0.045730	0.009615	-0.014575	0.002933	0.011243
ptsH	0.032051	-0.004261	-0.008380	-0.004041	0.012151
crr	0.000853	0.006993	0.000024	0.000024	-0.000047
pdxK	0.024486	0.002854	-0.005246	0.002801	0.002398
yfeS	-0.010598	-0.011602	-0.010085	0.019973	-0.010598
cysM	-0.009152	-0.056241	-0.011492	0.027395	-0.017275
cysA	-0.000119	-0.035685	0.000145	0.000013	-0.000157
cysW	0.033662	-0.044183	0.000000	0.000000	0.000000
cysU	0.006063	-0.000082	0.000659	0.001265	-0.001931
cysP	0.064406	0.063259	-0.041154	-0.005056	0.042175
ucpA	-0.016364	-0.033765	-0.011466	0.026770	-0.016610
yfeT	0.020538	0.000151	0.000151	-0.000302	0.000151
murQ	0.000000	0.043380	0.000000	0.000000	0.000000
murP	0.000034	0.000083	0.000899	0.000873	-0.001778
yfeW	-0.002286	-0.000103	0.000546	0.000187	-0.000734
yfeX	0.094600	0.001998	-0.004024	0.001998	0.001998
yfeY	0.000228	0.000270	-0.004985	0.000270	0.004661
amiA	-0.015064	-0.009100	-0.006428	0.015585	-0.009593
hemF	0.013087	-0.006398	0.002866	0.001131	-0.004027
eutR	-0.002530	-0.002530	-0.002149	0.006107	-0.004025
eutK	-0.000375	-0.000435	0.000750	-0.000375	-0.000375
eutL	0.008600	-0.001283	-0.000109	0.001333	-0.001228
eutC	0.000031	-0.000134	0.000294	-0.000134	-0.000161
eutB	0.018645	0.001201	0.000168	0.000168	-0.000336
intZ	0.000002	-0.023918	0.000453	-0.000396	-0.000057
yffL	0.054826	0.012869	-0.010764	0.005283	0.005283
yffM	-0.000961	-0.000073	0.000291	-0.000073	-0.000218
yffN	0.000054	0.029510	0.000679	0.000054	-0.000734
yffO	0.004257	0.058598	0.007482	-0.011626	0.003907
yffP	-0.000023	0.011138	0.000422	-0.000400	-0.000023
yffQ	-0.008976	-0.005868	-0.011144	-0.008797	0.019276
yffR	-0.003489	-0.003134	-0.002733	-0.003134	0.005809
yffS	-0.009565	-0.010951	-0.009565	-0.009763	0.018706
eutA	-0.000071	-0.000027	0.000450	-0.000142	-0.000308
eutG	0.000045	0.000101	0.000628	0.000045	-0.000674
eutJ	-0.000047	0.000005	0.000636	0.000005	-0.000643
eutN	0.000153	0.000153	0.000153	-0.000306	0.000153
eutM	0.000255	0.011480	0.000255	-0.000239	-0.000016
eutD	0.000094	-0.000205	0.000854	0.000094	-0.000950
eutT	-0.000241	-0.000241	0.000686	-0.000241	-0.000446
eutQ	0.000502	0.000502	0.001623	-0.001364	-0.000264
eutP	-0.001361	-0.000225	0.000450	-0.000225	-0.000225
maeB	-0.006673	-0.006673	0.013587	-0.006673	-0.007240
talA	0.004395	0.004329	0.004329	0.004329	-0.008789
tktB	0.145908	0.000580	-0.001062	0.000480	0.000580
ypfG	0.026325	-0.009252	-0.011831	0.020341	-0.009252
nudK	-0.000234	0.001778	0.000530	-0.000296	-0.000234
aegA	0.000106	0.000106	0.000639	-0.000746	0.000106
narQ	-0.002541	-0.000088	0.000408	-0.000088	-0.000320
acrD	0.000001	-0.000068	0.000525	-0.000458	-0.000068
yffB	0.060552	0.000055	0.000055	0.000055	-0.000111
dapE	-0.001231	-0.046320	-0.001231	-0.001231	0.002452
ypfH	0.000136	0.026646	0.000278	-0.000414	0.000136
ypfI	-0.000589	0.000000	0.000000	0.000000	0.000000
ypfJ	0.090630	0.017607	0.017607	-0.037512	0.017607
purC	0.028785	0.006142	-0.007940	0.006730	0.001084
bamC	0.070600	-0.086864	0.000000	0.000000	0.000000
dapA	0.041020	-0.004381	0.000000	0.000000	0.000000
gcvR	0.000109	-0.000013	-0.008824	0.000109	0.008542
bcp	0.024962	0.023433	-0.014940	-0.005791	0.019972
hyfA	-0.009961	-0.008212	-0.007595	0.015215	-0.008030
hyfB	0.000199	0.044732	0.000564	0.000199	-0.000765
hyfC	-0.001723	-0.000764	0.000368	-0.001015	0.000644
hyfD	-0.003967	-0.003560	-0.003001	-0.003560	0.006488
hyfE	-0.000616	0.006200	0.001184	-0.000595	-0.000591
hyfF	-0.000441	0.007797	0.000162	-0.000062	-0.000101
hyfG	-0.000386	-0.001515	0.001021	-0.000637	-0.000386
hyfH	-0.000623	0.018216	-0.000348	0.001915	-0.001575
hyfI	-0.002026	-0.000066	0.000718	-0.000138	-0.000581
hyfJ	-0.025807	0.029505	-0.000000	-0.000000	-0.000000
hyfR	0.000222	0.000142	0.000734	-0.000052	-0.000683
focB	-0.000246	-0.000199	0.000408	-0.000199	-0.000209
yfgO	0.016783	-0.002818	0.009085	-0.001322	-0.007933
yfgC	0.000000	-0.000387	0.000000	0.000000	0.000000
yfgD	-0.002235	-0.002387	-0.003003	-0.002235	0.005191
hda	0.013434	-0.002673	0.001060	-0.002127	0.001060
uraA	-0.010502	-0.037847	-0.007096	-0.010502	0.017075
upp	0.000037	0.000037	-0.013192	0.000037	0.012767
purM	0.089483	-0.016536	0.007011	-0.015611	0.008189
purN	0.023680	-0.035385	-0.011746	-0.003157	0.014490
ppk	0.013820	0.022300	0.000177	0.000177	-0.000355
ppx	0.031651	-0.030863	0.004310	-0.007917	0.003500
yfgF	0.021718	-0.000075	0.000000	0.000000	0.000000
yfgG	0.045996	-0.001057	-0.004286	0.002127	0.002127
yfgH	-0.000777	-0.000203	0.000968	-0.000098	-0.000873
guaB	0.035633	-0.014935	0.003591	-0.003179	-0.000439
xseA	0.031482	0.005256	-0.010706	0.005256	0.005256
yfgJ	-0.000340	-0.002637	0.000679	-0.000340	-0.000340
der	-0.005721	-0.019016	0.004717	0.004742	-0.009617
bamB	-0.001073	-0.014342	-0.001101	0.002194	-0.001101
yfgM	0.009660	-0.005620	-0.005036	0.010464	-0.005620
hisS	0.032748	-0.005213	0.008632	-0.004381	-0.004381
ispG	0.017846	-0.038595	0.004742	-0.002391	-0.002391
yfgA	0.004085	-0.024147	0.013869	-0.007104	-0.007104
rlmN	-0.002909	-0.016794	-0.003032	-0.003612	0.006568
ndk	-0.017389	-0.017560	-0.017389	-0.003056	0.019640
yfhM	0.000800	0.000477	0.000981	-0.001461	0.000477
sseB	-0.002219	-0.003801	-0.007073	0.012135	-0.005322
iscX	-0.007955	-0.030421	0.015819	-0.008308	-0.007955
fdx	-0.000099	-0.044388	-0.000099	0.000198	-0.000099
hscA	-0.008152	-0.008556	0.010326	-0.002456	-0.008075
hscB	-0.000508	-0.012248	-0.000457	0.000913	-0.000457
iscA	-0.000185	-0.028494	0.008513	-0.001202	-0.007461
iscU	-0.006416	-0.063246	-0.005527	0.010848	-0.005527
iscS	0.012690	-0.002898	0.000000	0.000000	0.000000
iscR	-0.004771	-0.020022	0.007887	-0.003226	-0.004771
trmJ	-0.004492	-0.005438	-0.004611	-0.004677	0.009141
suhB	-0.012104	-0.017905	0.015481	-0.003665	-0.012283
yfhR	-0.000208	-0.000208	0.000415	-0.000208	-0.000208
csiE	-0.000037	-0.000037	0.000586	-0.000037	-0.000550
hcaT	0.000120	-0.000078	0.000459	-0.000571	0.000111
hcaR	-0.000918	-0.001015	0.001831	-0.000918	-0.000918
hcaE	-0.000072	-0.000072	0.000447	-0.000375	-0.000072
hcaF	-0.000837	-0.000181	0.000000	0.000000	0.000000
hcaC	-0.000121	0.000384	0.000384	0.000384	-0.000769
hcaB	-0.000004	-0.000004	0.000533	-0.000258	-0.000275
hcaD	-0.004161	-0.000563	0.001123	-0.000563	-0.000563
yphA	0.001253	-0.001731	-0.001731	0.005014	-0.003329
yphB	-0.000441	0.000000	0.000000	0.000000	0.000000
yphD	-0.003170	-0.002526	-0.002506	0.004968	-0.002506
yphE	0.000002	0.000036	0.000581	0.000036	-0.000618
yphF	-0.000062	-0.000062	0.000452	-0.000062	-0.000390
yphG	0.000029	-0.000083	0.000513	-0.000006	-0.000507
yphH	-0.003239	-0.003212	-0.003212	-0.003212	0.006354
glyA	0.097504	-0.017531	0.000000	0.000000	0.000000
hmp	0.000045	0.000045	0.000288	0.000045	-0.000333
glnB	0.007281	0.000000	0.000000	0.000000	0.000000
yfhA	-0.004541	-0.005982	-0.004541	-0.004541	0.008941
yfhG	0.005046	0.000437	-0.000876	0.000437	0.000437
yfhK	-0.004647	-0.004244	-0.003108	-0.003761	0.006788
purL	0.072438	-0.069405	0.008437	-0.004281	-0.004281
mltF	0.045590	0.002389	-0.004817	0.002389	0.002389
tadA	-0.000319	-0.000319	0.000801	-0.000319	-0.000483
yfhB	0.024724	0.002048	0.002048	0.002048	-0.004125
yfhH	-0.000121	-0.000141	0.000384	-0.000243	-0.000141
yfhL	-0.003647	-0.003706	0.007403	-0.003647	-0.003852
acpS	0.000757	0.000586	-0.019058	0.000757	0.017530
pdxJ	0.000160	0.000085	0.000323	-0.000408	0.000085
recO	-0.000035	-0.000393	0.000680	-0.000237	-0.000443
rnc	0.049955	-0.014880	0.001566	-0.000733	-0.000837
lepB	-0.015729	-0.018475	-0.004335	0.019325	-0.015729
lepA	-0.001255	-0.009420	0.015643	-0.015738	-0.000472
rseC	0.002102	-0.038917	-0.001072	-0.001294	0.002356
rseA	-0.001835	-0.022216	0.004194	-0.002390	-0.001835
rpoE	0.007197	-0.004326	0.003560	-0.007208	0.003560
nadB	0.015338	0.000313	0.000313	0.000026	-0.000339
yfiC	-0.003702	-0.005316	-0.004155	0.008193	-0.004155
srmB	0.000408	0.000408	0.000408	0.003896	-0.004344
yfiE	-0.007215	-0.006818	0.014219	-0.007758	-0.006818
eamB	-0.009496	-0.000752	-0.000137	-0.000752	0.000887
yfiD	0.045189	0.000131	0.000131	0.000131	-0.000262
ung	0.026257	0.000048	0.000685	-0.000734	0.000048
yfiF	0.053479	0.004752	0.004752	-0.009664	0.004752
trxC	-0.007672	-0.008499	0.014949	-0.007672	-0.007672
yfiP	0.006445	0.006445	0.007460	-0.014249	0.006445
yfiQ	0.000100	-0.000190	0.000933	-0.000518	-0.000416
pssA	0.042294	-0.023230	0.000173	-0.000087	-0.000087
yfiM	0.037147	0.000377	0.000944	0.000706	-0.001655
kgtP	0.076507	0.007879	-0.003050	0.000979	0.002055
rrsG	-0.016435	-0.010173	0.000193	0.001476	-0.001675
clpB	-0.000226	-0.000281	-0.000281	0.000898	-0.000619
yfiH	0.022438	-0.004252	0.001229	-0.000616	-0.000616
rluD	-0.007950	-0.013421	0.013838	-0.001309	-0.012944
bamD	0.013109	-0.029025	0.000000	0.000000	0.000000
b2596	-0.002072	-0.001515	-0.000193	0.003215	-0.003044
raiA	-0.000548	-0.045679	0.001095	-0.000548	-0.000548
pheL	0.029567	0.014697	-0.039439	0.022177	0.014697
pheA	0.027315	-0.047679	-0.009333	0.018085	-0.009333
tyrA	0.007952	-0.074177	0.005761	-0.002909	-0.002909
aroF	0.057020	-0.049285	0.000000	0.000000	0.000000
yfiL	0.070012	0.000207	0.000207	0.000207	-0.000414
yfiR	-0.009358	-0.051301	0.010251	-0.001117	-0.009358
yfiN	-0.003375	-0.003492	0.006846	-0.003597	-0.003331
yfiB	-0.006073	-0.018011	-0.003241	-0.006073	0.009163
rplS	-0.004612	-0.029369	0.006509	-0.001975	-0.004612
trmD	0.001467	0.000063	0.000063	-0.000126	0.000063
rimM	0.003695	-0.007876	0.000371	-0.004633	0.004216
rpsP	-0.010666	-0.007224	0.000844	0.002721	-0.003590
ffh	-0.006122	-0.010500	0.004127	0.006109	-0.010423
ypjD	0.012860	0.002551	-0.024287	0.011652	0.011652
ypjE	-0.005290	-0.007665	-0.005311	-0.005574	0.010685
yfjD	-0.000831	0.016803	-0.000831	-0.000831	0.001656
grpE	0.011032	0.039911	0.011032	-0.022942	0.011032
nadK	-0.003878	-0.008765	-0.002966	0.006764	-0.003878
recN	0.008227	0.000077	0.000161	-0.000322	0.000161
smpA	-0.001629	-0.008942	-0.007316	0.008791	-0.001629
yfjF	0.002166	-0.008406	-0.001738	0.000866	0.000866
yfjG	0.127563	0.002863	0.002534	-0.005448	0.002863
smpB	0.054228	0.006423	-0.005477	-0.001029	0.006423
ssrA	0.014913	0.000802	-0.002052	-0.003960	0.005948
intA	0.003640	0.003575	-0.007239	0.003575	0.003575
yfjH	0.000014	0.010274	0.000014	-0.000027	0.000014
alpA	-0.000414	0.007028	0.000088	0.000088	-0.000177
yfjI	0.000035	0.014678	0.000574	-0.000103	-0.000471
yfjJ	-0.011791	-0.011791	-0.011791	-0.012217	0.023056
yfjK	-0.001009	-0.012549	0.000178	0.001105	-0.001286
yfjL	0.006464	-0.002499	-0.002499	-0.003120	0.005564
yfjM	-0.002165	-0.002165	0.004597	-0.002165	-0.002469
rnlA	0.009109	0.003054	-0.007027	0.003471	0.003471
yfjO	0.027428	-0.072169	0.000809	-0.000405	-0.000405
yfjP	-0.015860	-0.015042	-0.004676	-0.017311	0.021101
yfjQ	-0.003039	-0.002636	-0.001063	0.003674	-0.002636
yfjR	-0.000106	-0.000965	0.000525	-0.000106	-0.000420
b2635	-0.006829	-0.000282	0.001646	-0.000025	-0.001627
yfjS	-0.000043	-0.000043	0.000419	-0.000043	-0.000377
yfjT	0.000221	0.000221	0.000221	0.000221	-0.000442
yfjU	0.001852	0.001781	0.001781	0.001562	-0.003363
b2639	-0.000127	-0.000227	0.000454	-0.000227	-0.000227
b2640	-0.000687	-0.000090	0.000443	-0.000353	-0.000090
yfjV	0.000058	0.000058	0.000616	0.000058	-0.000675
yfjW	-0.010888	-0.009734	-0.008176	-0.009734	0.017373
yfjX	-0.002638	-0.002527	0.004925	-0.002439	-0.002527
yfjY	-0.000006	-0.000006	0.000419	0.000500	-0.000920
yfjZ	-0.000437	-0.001175	0.000873	-0.000437	-0.000437
ypjF	0.000992	0.001199	-0.002733	0.001521	0.001199
ypjA	0.000015	0.000015	0.000157	0.000015	-0.000172
pinH	-0.007739	-0.007040	-0.007040	-0.007040	0.013746
b2649	0.000017	0.000017	0.000577	-0.000322	-0.000256
ypjC	-0.002394	0.000002	0.001619	0.000568	-0.002196
b2651	-0.000270	-0.000030	0.001173	-0.000030	-0.001145
b2653	-0.001758	-0.000095	0.000381	-0.000095	-0.000286
b2654	0.000012	0.000012	0.000424	-0.000437	0.000012
b2655	-0.001202	0.014600	0.004268	0.000122	-0.004434
b2656	0.000144	0.000144	0.000144	-0.000288	0.000144
b2657	-0.000891	-0.000135	0.000568	-0.000135	-0.000434
b2658	-0.006449	-0.005940	-0.005940	0.011641	-0.005940
csiD	-0.021095	-0.021156	-0.020600	-0.021402	0.039180
ygaF	0.000273	0.013222	0.000273	0.000273	-0.000546
gabD	-0.000066	-0.000066	0.000528	0.000204	-0.000733
gabT	-0.000811	-0.000811	-0.000811	0.002057	-0.001254
gabP	0.000605	0.000572	-0.001105	0.000531	0.000572
csiR	0.000035	0.004726	0.000179	0.000179	-0.000358
ygaU	0.087327	0.075626	0.002303	0.001754	-0.004086
yqaE	0.073904	0.000204	0.000204	-0.000229	0.000025
ygaV	-0.001631	-0.001566	-0.001566	-0.002203	0.003744
ygaP	-0.011686	-0.011665	0.022469	-0.011686	-0.011686
stpA	-0.065543	0.030828	-0.049334	-0.003394	0.047340
ygaW	-0.002653	-0.000489	0.000160	0.000493	-0.000653
ygaC	0.000630	0.007386	0.000630	0.000630	-0.001263
ygaM	0.135030	0.001100	0.001100	-0.001346	0.000243
nrdH	0.047258	0.007606	-0.008244	0.004329	0.003799
nrdI	-0.000042	-0.000042	0.000822	-0.000495	-0.000328
nrdE	0.002480	0.000147	0.001257	0.000147	-0.001409
nrdF	0.000468	0.000468	0.000468	0.000468	-0.000937
proV	0.016232	-0.003499	0.005107	-0.002445	-0.002707
proW	-0.004498	-0.029866	-0.004498	-0.004498	0.008859
proX	0.039844	0.018890	-0.019448	0.007553	0.011253
b2680	-0.000721	0.000197	0.001194	0.000197	-0.001395
ygaY	0.006147	0.000729	0.001517	-0.000368	-0.001154
ygaZ	-0.008763	-0.011181	-0.008401	-0.008952	0.016850
ygaH	-0.003986	-0.005438	0.008166	-0.003986	-0.004296
mprA	0.054232	0.039111	-0.017779	0.010002	0.007241
emrA	0.056575	0.017875	-0.004159	0.002018	0.002112
emrB	0.000041	-0.000236	0.000000	0.000000	0.000000
luxS	-0.000018	0.025564	0.000000	0.000000	0.000000
gshA	0.028861	-0.003890	-0.002636	0.009355	-0.006882
yqaA	0.003255	0.002988	0.002988	0.002988	-0.006038
yqaB	-0.001431	-0.035636	-0.021000	0.039644	-0.021534
csrA	0.087858	0.007875	0.002743	-0.012055	0.009043
alaS	-0.013926	-0.015879	0.002054	-0.001031	-0.001031
recX	-0.000065	-0.001151	0.001581	-0.000316	-0.001270
recA	0.038927	-0.019580	0.000000	0.000000	0.000000
ygaD	0.000144	0.000144	0.000144	-0.000288	0.000144
mltB	-0.000037	-0.000037	0.000480	-0.000289	-0.000192
srlA	-0.001128	-0.000398	0.000796	-0.000398	-0.000398
srlB	-0.001275	-0.000206	0.000412	-0.000206	-0.000206
srlD	-0.009627	-0.010022	0.002572	-0.009627	0.006886
gutM	-0.000603	-0.000262	0.000530	0.000600	-0.001133
srlR	0.042182	0.000075	0.000569	0.000075	-0.000645
gutQ	0.000082	0.000066	0.000589	-0.000656	0.000066
norR	0.000368	0.000155	0.000155	-0.000311	0.000155
norV	-0.000319	-0.000080	0.001253	-0.000080	-0.001176
norW	0.000025	-0.000049	0.000248	-0.000036	-0.000213
hypF	-0.000474	-0.000474	0.001555	-0.000474	-0.001085
hydN	-0.000070	-0.000070	0.000403	-0.000070	-0.000334
ascG	0.000812	-0.007882	-0.007431	-0.007431	0.014492
ascF	-0.002654	-0.002806	0.005483	-0.002882	-0.002654
ascB	-0.001770	-0.001569	-0.000329	0.002545	-0.002230
hycH	-0.000002	-0.001952	0.000324	-0.000162	-0.000162
hycG	0.000083	0.000083	0.000083	0.000083	-0.000165
hycF	0.000091	0.001351	0.000699	0.000091	-0.000792
hycE	0.000023	0.000023	0.000023	-0.000046	0.000023
hycD	0.000090	0.000090	0.000609	0.000090	-0.000700
hycC	-0.000053	-0.000053	0.000622	-0.000569	-0.000053
hycB	-0.004945	-0.004596	0.009123	-0.004305	-0.004964
hycA	-0.000708	0.010334	0.000519	-0.000362	-0.000157
hypA	-0.007255	-0.007080	-0.007080	-0.007080	0.013823
hypB	0.024434	-0.007035	0.004429	-0.004356	-0.000118
hypC	-0.006386	0.021257	-0.008418	-0.006386	0.014434
hypD	-0.000280	-0.000198	0.000409	-0.000205	-0.000205
hypE	0.026195	-0.011909	-0.010584	-0.012562	0.022258
fhlA	-0.006874	-0.004048	0.014079	-0.006889	-0.007540
ygbA	-0.001728	0.007702	0.000779	-0.000060	-0.000720
mutS	0.028782	0.000006	0.000555	0.000006	-0.000563
pphB	0.000626	0.012832	0.000626	-0.000116	-0.000511
ygbI	0.009823	0.003497	0.003497	-0.007080	0.003497
ygbJ	-0.001709	0.008799	0.000183	-0.000092	-0.000092
ygbK	-0.012151	-0.010577	-0.011070	-0.011227	0.021473
ygbL	-0.000100	-0.000057	0.000788	-0.000057	-0.000733
ygbM	-0.001004	-0.000291	0.000441	-0.000221	-0.000221
ygbN	-0.000773	-0.000404	0.000808	-0.000404	-0.000404
rpoS	0.051639	-0.018942	0.000000	0.000000	0.000000
nlpD	0.077428	0.031075	-0.015251	-0.017578	0.031075
pcm	-0.000150	-0.000515	0.000301	-0.000150	-0.000150
surE	-0.000435	-0.000435	0.000868	-0.000435	-0.000435
truD	0.005324	-0.008466	-0.002176	-0.002082	0.004226
ispF	0.035454	-0.000194	0.000000	0.000000	0.000000
ispD	-0.009243	-0.026531	-0.006419	0.011361	-0.005170
ftsB	-0.004084	-0.059717	-0.004084	-0.004084	0.008054
ygbE	0.030592	-0.022711	0.004400	-0.008935	0.004400
cysC	0.043801	-0.012279	0.000387	-0.000194	-0.000194
cysN	0.098941	0.011690	0.011690	0.011690	-0.024369
cysD	0.039195	0.009813	-0.008568	0.000500	0.007912
iap	-0.006138	-0.022439	-0.006138	-0.006138	0.012022
ygbF	0.022404	0.004480	0.004480	-0.009101	0.004480
ygbT	0.000328	0.000216	0.000216	-0.000247	0.000030
ygcH	0.000140	-0.000099	0.000140	0.000140	-0.000281
ygcI	0.000008	0.000008	0.000596	0.000008	-0.000605
ygcJ	-0.000706	0.018226	0.000330	-0.000165	-0.000165
ygcK	-0.003359	-0.003209	-0.003162	-0.004037	0.007110
ygcL	-0.000326	-0.000245	0.000695	0.000085	-0.000782
ygcB	0.000027	0.001998	0.000409	0.000409	-0.000820
cysH	-0.006319	-0.046827	-0.023501	0.026067	-0.004008
cysI	0.020527	0.000366	0.000366	-0.000621	0.000254
cysJ	0.023523	-0.003735	-0.002639	-0.001278	0.003890
sscR	0.026745	-0.013177	-0.010789	0.005296	0.005296
ygcN	-0.000105	-0.000105	0.000601	-0.000144	-0.000458
ygcO	-0.000540	-0.000485	0.001273	-0.000152	-0.001125
ygcP	-0.001567	-0.000175	0.000349	-0.000175	-0.000175
ygcR	0.000000	0.061117	0.000000	0.000000	0.000000
ygcS	-0.000035	-0.000035	0.000568	-0.000132	-0.000437
b2772	-0.000016	-0.000076	0.000367	-0.000025	-0.000342
ygcU	-0.000418	0.000071	0.000496	0.000071	-0.000568
ygcW	-0.008880	-0.006453	-0.006453	-0.006453	0.012625
yqcE	-0.000160	-0.000122	0.000573	-0.000122	-0.000451
ygcE	0.000361	0.008209	0.000414	-0.000177	-0.000237
ygcF	0.052824	-0.018177	0.019811	-0.016469	-0.004129
ygcG	-0.000085	-0.000048	0.000733	-0.000048	-0.000686
eno	-0.002776	-0.019471	-0.002776	0.005499	-0.002776
pyrG	0.004236	-0.056303	0.000000	0.000000	0.000000
mazG	0.011590	-0.010051	0.019061	-0.009299	-0.010409
chpA	-0.000163	-0.049402	-0.000163	0.000326	-0.000163
chpR	-0.008958	-0.008958	0.030300	-0.014762	-0.017205
relA	-0.000607	-0.000607	-0.009028	0.009438	-0.000607
rumA	-0.006253	-0.010310	-0.005707	0.011719	-0.006253
barA	-0.001067	-0.001067	0.002290	-0.001067	-0.001232
gudX	-0.007510	-0.007129	0.014257	-0.007129	-0.007487
gudP	-0.000055	0.000000	0.000732	-0.000085	-0.000648
yqcA	-0.003230	-0.007765	-0.007124	-0.015664	0.021889
truC	-0.001415	-0.000210	0.000420	-0.000210	-0.000210
yqcC	-0.001485	0.000303	0.000303	-0.000606	0.000303
syd	0.000061	0.015545	0.000061	-0.000121	0.000061
queF	0.000061	-0.000299	0.000532	0.000050	-0.000583
ygdH	-0.000395	0.000081	0.001131	0.000081	-0.001215
sdaC	-0.001689	-0.028014	0.000223	-0.000112	-0.000112
sdaB	-0.064101	-0.045501	-0.001358	-0.004736	0.006024
ygdG	0.000156	0.000088	0.000088	0.000088	-0.000175
fucO	-0.010159	-0.000173	0.000346	-0.000173	-0.000173
